type	journal	pubmed
c("Journal Article", "Review")	F1000Research	29259778
c("Journal Article", "Review")	F1000Research	29259777
c("Journal Article", "Review")	F1000Research	29259776
c("Journal Article", "Review")	F1000Research	29259775
c("Journal Article", "Review")	F1000Research	29259774
Journal Article	F1000Research	29259771
Journal Article	F1000Research	29259770
Journal Article	F1000Research	29259769
Journal Article	F1000Research	29259768
Journal Article	F1000Research	29259767
c("Journal Article", "Review")	F1000Research	29259766
Journal Article	F1000Research	29259765
Journal Article	F1000Research	29259762
Journal Article	Nature	29258300
Journal Article	Nature	29258298
Journal Article	Nature	29258297
Journal Article	Nature	29258295
Journal Article	Nature	29258294
Journal Article	Nature	29258293
Journal Article	Nature	29258291
Journal Article	Nature	29258289
Journal Article	Nature	29258288
Journal Article	F1000Research	29225780
Journal Article	F1000Research	29225777
Journal Article	F1000Research	29188014
Journal Article	F1000Research	29167732
Journal Article	F1000Research	29123644
Journal Article	PloS one	29253907
Journal Article	PloS one	29253906
Journal Article	PloS one	29253905
Journal Article	PloS one	29253904
Journal Article	PloS one	29253902
Journal Article	PloS one	29253901
Journal Article	PloS one	29253900
c("Journal Article", "Multicenter Study")	PloS one	29253899
Journal Article	PloS one	29253896
Journal Article	PloS one	29253895
Journal Article	PloS one	29253893
Journal Article	PloS one	29253892
Journal Article	PloS one	29253891
Journal Article	PloS one	29253889
Journal Article	PloS one	29253888
Journal Article	PloS one	29253887
Journal Article	PloS one	29253886
Journal Article	PloS one	29253884
Journal Article	PloS one	29253883
Journal Article	PloS one	29253879
Journal Article	PloS one	29253878
Journal Article	PloS one	29253877
Journal Article	PloS one	29253876
Journal Article	PloS one	29253875
Journal Article	PloS one	29253872
Journal Article	PloS one	29253870
Journal Article	PloS one	29253867
Journal Article	PloS one	29253866
Journal Article	PloS one	29253865
Journal Article	PloS one	29253862
Journal Article	PloS one	29253861
Journal Article	PloS one	29253859
Journal Article	PloS one	29253858
Journal Article	PloS one	29253857
c("Journal Article", "Meta-Analysis", "Review")	PloS one	29253855
Journal Article	PloS one	29253853
